"","state","year","hazard","cropdmg","cropdmg_adj","cropdmgpercapita","propertydmg","propertydmg_adj","propertydmgpercapita","duration_days"
"160","ALABAMA",2018,"Wind",500,599.4658,0.00164,483750,579983.16042,10.34976,2
"161","ALABAMA",2019,"Coastal",0,0,0,0,0,0,1
"162","ALABAMA",2019,"Flooding",0,0,0,210000,243957.28821,6.30464,3
"163","ALABAMA",2019,"Lightning",0,0,0,51000,59246.76999,0.40175,1
"164","ALABAMA",2019,"Severe Storm/Thunder Storm",0,0,0,184300,214101.56294,4.5854,1
"165","ALABAMA",2019,"Tornado",0,0,0,270000,313659.37055,12.99402,1
"166","ALABAMA",2019,"Wind",0,0,0,241300,280318.54116,5.70056,1
"167","ALABAMA",2020,"Coastal",0,0,0,0,0,0,1
"168","ALABAMA",2020,"Flooding",0,0,0,1280000,1470156.71431,44.95185,23
"169","ALABAMA",2020,"Hurricane/Tropical Storm",1600000,1837695.89289,7.87943,310901000,357088431.7475,1390.28358,2
"170","ALABAMA",2020,"Lightning",0,0,0,47000,53982.31685,1.39281,1
"171","ALABAMA",2020,"Severe Storm/Thunder Storm",0,0,0,259500,298051.30263,5.99213,1
"172","ALABAMA",2020,"Tornado",0,0,0,555000,637450.76285,27.68804,1
"173","ALABAMA",2020,"Wind",480000,551308.76787,16.62246,348200,399928.56869,6.97609,2
"174","ALABAMA",2021,"Coastal",0,0,0,0,0,0,1
"175","ALABAMA",2021,"Flooding",0,0,0,3705000,4237389.615,20.78608,2
"176","ALABAMA",2021,"Hurricane/Tropical Storm",0,0,0,53000,60615.82985,0.84697,2
"177","ALABAMA",2021,"Lightning",0,0,0,1005000,1149413.37735,5.8945,1
"178","ALABAMA",2021,"Severe Storm/Thunder Storm",0,0,0,330150,377590.87217,4.89478,1
"179","ALABAMA",2021,"Tornado",0,0,0,3659000,4184779.64947,111.57365,1
"180","ALABAMA",2021,"Wind",0,0,0,332750,380564.47892,4.94294,1
"181","ALABAMA",2022,"Coastal",0,0,0,0,0,0,1
"182","ALABAMA",2022,"Flooding",0,0,0,450000,478845.66126,15.37868,1
"183","ALABAMA",2022,"Heat",0,0,0,0,0,0,1
"184","ALABAMA",2022,"Lightning",0,0,0,795100,846067.07837,19.19383,1
"185","ALABAMA",2022,"Severe Storm/Thunder Storm",0,0,0,4110750,4374255.11558,15.55106,1
"186","ALABAMA",2022,"Tornado",3000,3192.30441,0.11929,259000,275602.28059,6.06137,1
"187","ALABAMA",2022,"Wind",0,0,0,25329750,26953424.19605,290.71558,3
"188","ALABAMA",2022,"Winter Weather",0,0,0,25000,26602.53674,0.24621,3
"189","ALABAMA",2023,"Coastal",0,0,0,0,0,0,1
"190","ALABAMA",2023,"Flooding",0,0,0,20000,20000,1.63239,1
"191","ALABAMA",2023,"Hail",0,0,0,5000,5000,0.08986,1
"192","ALABAMA",2023,"Lightning",0,0,0,674000,674000,24.17689,1
"193","ALABAMA",2023,"Severe Storm/Thunder Storm",0,0,0,13558450,13558450,203.71498,1
"194","ALABAMA",2023,"Tornado",0,0,0,14980000,14980000,175.37018,1
"195","ALABAMA",2023,"Wind",0,0,0,13685750,13685750,206.02325,1
"196","ALASKA",2000,"Avalanche",0,0,0,754000.03,1318230.76056,67.50628,2
"197","ALASKA",2000,"Flooding",0,0,0,620000.04,1083956.35511,119.01731,6
"198","ALASKA",2000,"Heat",0,0,0,0,0,0,1
"199","ALASKA",2000,"Wildfire",0,0,0,250000,437079.14725,53.6017,1
"200","ALASKA",2000,"Wind",5000.01,8741.60043,1.59997,8346499.99,14592324.39263,2044.19633,2
"201","ALASKA",2000,"Winter Weather",0,0,0,119999.96,209797.92075,14.64148,3
"202","ALASKA",2001,"Avalanche",0,0,0,43999.98,74797.51048,4.60544,2
"203","ALASKA",2001,"Flooding",0,0,0,749499.96,1274108.10451,187.36921,8
"204","ALASKA",2001,"Severe Storm/Thunder Storm",0,0,0,2500,4249.86048,2.12688,2
"205","ALASKA",2001,"Wildfire",0,0,0,1600000,2719910.70849,177.79119,7
"206","ALASKA",2001,"Wind",0,0,0,607099.95,1032036.03446,242.11103,2
"207","ALASKA",2001,"Winter Weather",0,0,0,333999.99,567781.3434,15.91126,3
"208","ALASKA",2002,"Avalanche",0,0,0,10999.98,18408.31163,2.90924,1
"209","ALASKA",2002,"Coastal",0,0,0,2999.98,5020.42428,1.20869,2
"210","ALASKA",2002,"Earthquake",0,0,0,5.7e+07,95388697.31294,20273.14867,1
"211","ALASKA",2002,"Flooding",0,0,0,29164700.01,48806714.76274,3837.95268,9
"212","ALASKA",2002,"Landslide",0,0,0,99,165.67511,0.02952,1
"213","ALASKA",2002,"Wind",0,0,0,1155099.96,1933043.51668,427.20011,3
"214","ALASKA",2002,"Winter Weather",0,0,0,44000,73633.38038,0.86172,2
"215","ALASKA",2003,"Avalanche",0,0,0,10000,16361.96287,2.35162,1
"216","ALASKA",2003,"Flooding",0,0,0,8756500.01,14327352.80161,3038.81209,6
"217","ALASKA",2003,"Severe Storm/Thunder Storm",0,0,0,5000,8180.98143,1.09355,2
"218","ALASKA",2003,"Wildfire",0,0,0,260000.02,425411.06729,64.87229,7
"219","ALASKA",2003,"Wind",0,0,0,12063500.09,19738254.05291,461.93097,3
"220","ALASKA",2003,"Winter Weather",0,0,0,182999.99,299423.90412,61.7435,4
"221","ALASKA",2004,"Avalanche",0,0,0,0,0,0,2
"222","ALASKA",2004,"Flooding",8000,12750.03141,17.93253,25138000.01,40063786.21688,5118.48645,5
"223","ALASKA",2004,"Wildfire",0,0,0,9e+05,1434378.53373,132.61461,31
"224","ALASKA",2004,"Wind",10000,15937.53926,2.21696,591600.05,942864.90252,201.6345,2
"225","ALASKA",2004,"Winter Weather",0,0,0,107000.03,170531.71793,2.20014,3
"226","ALASKA",2005,"Flooding",0,0,0,4240600,6536997.08315,1051.86943,6
"227","ALASKA",2005,"Landslide",0,0,0,399999.99,616610.5664,95.78479,3
"228","ALASKA",2005,"Severe Storm/Thunder Storm",0,0,0,4250000.03,6551487.47807,1624.02373,8
"229","ALASKA",2005,"Wind",120000.07,184983.28245,43.96464,8296500.03,12789274.27639,1879.77082,3
"230","ALASKA",2005,"Winter Weather",19999.98,30830.49826,5.39041,229000.03,353009.60434,77.59697,4
"231","ALASKA",2006,"Avalanche",0,0,0,0,0,0,1
"232","ALASKA",2006,"Coastal",0,0,0,129999.99,194135.97312,25.35839,2
"233","ALASKA",2006,"Flooding",0,0,0,61222339.99,91426611.26797,10170.14985,7
"234","ALASKA",2006,"Landslide",0,0,0,1600000,2389366.0068,694.19206,1
"235","ALASKA",2006,"Wildfire",0,0,0,324999.99,485339.9552,117.88593,15
"236","ALASKA",2006,"Wind",0,0,0,79000.02,117974.97645,96.75425,2
"237","ALASKA",2006,"Winter Weather",0,0,0,167749.99,250510.07734,64.54283,2
"238","ALASKA",2007,"Flooding",0,0,0,3912060,5680302.30113,166.89872,7
"239","ALASKA",2007,"Hail",0,0,0,15000,21779.96619,4.80353,1
"240","ALASKA",2007,"Landslide",0,0,0,999.99,1451.98323,0.36348,1
"241","ALASKA",2007,"Wind",0,0,0,170000,246839.61677,49.25187,3
"242","ALASKA",2007,"Winter Weather",0,0,0,5000,7259.98873,2.53921,1
"243","ALASKA",2008,"Avalanche",0,0,0,0,0,0,1
"244","ALASKA",2008,"Coastal",0,0,0,7e+06,9788162.80569,1455.48889,3
"245","ALASKA",2008,"Flooding",0,0,0,4969000.02,6948197.31103,1346.06681,3
"246","ALASKA",2008,"Severe Storm/Thunder Storm",0,0,0,2500,3495.77243,0.32377,1
"247","ALASKA",2008,"Wind",0,0,0,149750.01,209396.78258,19.44507,2
"248","ALASKA",2008,"Winter Weather",0,0,0,50000,69915.44861,0.24928,2
"249","ALASKA",2009,"Flooding",0,0,0,1509999.99,2118985.41088,2603.45831,3
"250","ALASKA",2009,"Wildfire",0,0,0,250000,350825.40148,32.95135,14
"251","ALASKA",2009,"Wind",0,0,0,1355999.97,1902876.9355,566.3614,2
"252","ALASKA",2009,"Winter Weather",0,0,0,201000,282063.62279,26.54008,2
"253","ALASKA",2010,"Coastal",0,0,0,5000.01,6903.28904,0.78836,2
"254","ALASKA",2010,"Flooding",0,0,0,760000,1049297.83496,178.3919,4
"255","ALASKA",2010,"Severe Storm/Thunder Storm",0,0,0,2500,3451.63762,0.61494,1
"256","ALASKA",2010,"Wildfire",0,0,0,1500000,2070982.569,506.88051,1
"257","ALASKA",2010,"Wind",0,0,0,2287000,3157558.0902,135.96224,2
"258","ALASKA",2011,"Coastal",0,0,0,15000,20076.11731,2.6056,1
"259","ALASKA",2011,"Flooding",0,0,0,25555000,34203011.84944,3411.24909,5
"260","ALASKA",2011,"Severe Storm/Thunder Storm",0,0,0,2500,3346.01955,0.59421,1
"261","ALASKA",2011,"Wind",0,0,0,3709750.01,4965158.42499,272.00096,3
"262","ALASKA",2011,"Winter Weather",0,0,0,0,0,0,1
"263","ALASKA",2012,"Flooding",0,0,0,23430000,30723096.14221,335.93759,12
"264","ALASKA",2012,"Wind",0,0,0,619333.33,812114.27408,40.14209,2
"265","ALASKA",2012,"Winter Weather",0,0,0,257000,336996.82922,63.3235,5
"266","ALASKA",2013,"Flooding",0,0,0,27990999.99,36173944.97417,5440.34099,8
"267","ALASKA",2013,"Landslide",0,0,0,13750,17769.70253,1.56001,1
"268","ALASKA",2013,"Wind",160000,206774.72037,97.48926,428800,554156.2506,7.87382,2
"269","ALASKA",2013,"Winter Weather",0,0,0,2211000,2857368.16714,279.77123,2
"270","ALASKA",2014,"Avalanche",0,0,0,5000,6358.56221,0.67109,2
