StateName,Year,Hazard,CropDmg,CropDmg(ADJ 2023),CropDmgPerCapita,Crop_Damage_Duration,PropertyDmg,PropertyDmg(ADJ 2023),PropertyDmgPerCapita,Property_Damage_Duration,Duration_Days,Records
ALABAMA,2011,Landslide,0.00000,0.00000,0.00000,0,20000.00000,26768.15641,0.50308,1,1,1
ALABAMA,2011,Lightning,0.00000,0.00000,0.00000,0,1686000.00000,2256555.58514,24.60631,1,1,45
ALABAMA,2011,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,3650541.66667,4885913.51524,101.65914,1,1,1034
ALABAMA,2011,Tornado,3000000.00000,4015223.46110,156.95503,1,4362373700.00000,5838635075.43689,64184.16526,1,1,164
ALABAMA,2011,Wind,0.00000,0.00000,0.00000,0,4230141.66667,5661654.68792,120.06534,1,1,1115
ALABAMA,2011,Winter Weather,0.00000,0.00000,0.00000,0,17300.00000,23154.45529,0.65292,2,2,8
ALABAMA,2012,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,3
ALABAMA,2012,Flooding,0.00000,0.00000,0.00000,0,358000.00000,469435.27183,4.36770,1,1,18
ALABAMA,2012,Heat,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,3,12
ALABAMA,2012,Lightning,5000.00000,6556.35855,0.01913,1,1134000.00000,1486982.11802,12.54035,2,2,36
ALABAMA,2012,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,2195525.00000,2878929.81893,71.62971,1,1,285
ALABAMA,2012,Tornado,0.00000,0.00000,0.00000,0,1589000.00000,2083610.74562,16.09469,1,1,18
ALABAMA,2012,Wind,0.00000,0.00000,0.00000,0,2168525.00000,2843525.48279,71.17088,1,1,286
ALABAMA,2013,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,2,3
ALABAMA,2013,Flooding,0.00000,0.00000,0.00000,0,3881000.00000,5015579.31102,152.42173,2,2,20
ALABAMA,2013,Hail,0.00000,0.00000,0.00000,0,5000.00000,6461.71001,0.25721,1,1,1
ALABAMA,2013,Landslide,0.00000,0.00000,0.00000,0,488097.00000,630788.25431,8.89549,1,1,1
ALABAMA,2013,Lightning,0.00000,0.00000,0.00000,0,1319500.00000,1705245.27207,18.04519,1,1,17
ALABAMA,2013,Severe Storm/Thunder Storm,3000.00000,3877.02601,0.10319,1,625100.00000,807842.98565,16.93836,1,1,207
ALABAMA,2013,Tornado,0.00000,0.00000,0.00000,0,1770000.00000,2287445.34412,12.01337,1,1,11
ALABAMA,2013,Wind,3000.00000,3877.02601,0.10319,1,814950.00000,1053194.11480,19.00466,2,2,239
ALABAMA,2013,Winter Weather,0.00000,0.00000,0.00000,0,5000.00000,6461.71001,0.20480,1,1,1
ALABAMA,2014,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,3
ALABAMA,2014,Flooding,0.00000,0.00000,0.00000,0,34618460.00000,44024726.32844,214.77642,2,2,11
ALABAMA,2014,Hail,0.00000,0.00000,0.00000,0,10500.00000,13352.98065,0.03751,1,1,2
ALABAMA,2014,Lightning,0.00000,0.00000,0.00000,0,110000.00000,139888.36869,4.77550,1,1,10
ALABAMA,2014,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,736600.00000,936743.38528,20.68002,1,1,218
ALABAMA,2014,Tornado,0.00000,0.00000,0.00000,0,990000.00000,1258995.31825,71.52601,1,1,18
ALABAMA,2014,Wind,0.00000,0.00000,0.00000,0,749600.00000,953275.64703,21.19484,1,1,222
ALABAMA,2014,Winter Weather,0.00000,0.00000,0.00000,0,1000000.00000,1271712.44268,37.06220,2,2,6
ALABAMA,2015,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,1
ALABAMA,2015,Flooding,0.00000,0.00000,0.00000,0,9472000.00000,12031379.26058,394.82024,8,8,23
ALABAMA,2015,Lightning,0.00000,0.00000,0.00000,0,295000.00000,374710.39716,2.57258,1,1,14
ALABAMA,2015,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,1840750.00000,2338129.36802,38.01429,1,1,121
ALABAMA,2015,Tornado,0.00000,0.00000,0.00000,0,1325000.00000,1683021.27537,94.77715,1,1,8
ALABAMA,2015,Wind,0.00000,0.00000,0.00000,0,1861750.00000,2364803.66748,38.50237,1,1,130
ALABAMA,2016,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,1
ALABAMA,2016,Flooding,0.00000,0.00000,0.00000,0,200000.00000,246393.70117,7.32892,2,2,5
ALABAMA,2016,Heat,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,1
ALABAMA,2016,Lightning,0.00000,0.00000,0.00000,0,121000.00000,149068.18921,6.43997,1,1,11
ALABAMA,2016,Severe Storm/Thunder Storm,100.00000,123.19685,0.00133,1,553100.00000,681401.78059,21.93208,2,2,240
ALABAMA,2016,Tornado,0.00000,0.00000,0.00000,0,1908000.00000,2350595.90916,109.16444,1,1,17
ALABAMA,2016,Wind,100.00000,123.19685,0.00133,1,1585600.00000,1953409.26288,26.30778,2,2,248
ALABAMA,2017,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,5
ALABAMA,2017,Flooding,0.00000,0.00000,0.00000,0,22783000.00000,27498578.31520,250.51569,2,2,18
ALABAMA,2017,Hurricane/Tropical Storm,0.00000,0.00000,0.00000,0,2610000.00000,3150212.41288,39.69343,2,2,17
ALABAMA,2017,Lightning,0.00000,0.00000,0.00000,0,150000.00000,181046.69040,1.74389,1,1,10
ALABAMA,2017,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,1856650.00000,2240935.58482,66.70228,1,1,258
ALABAMA,2017,Tornado,0.00000,0.00000,0.00000,0,2242000.00000,2706044.53244,128.54783,1,1,15
ALABAMA,2017,Wind,0.00000,0.00000,0.00000,0,1904150.00000,2298267.03678,67.39815,1,1,266
ALABAMA,2017,Winter Weather,0.00000,0.00000,0.00000,0,20000.00000,24139.55872,1.21194,1,1,3
ALABAMA,2018,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,5
ALABAMA,2018,Flooding,0.00000,0.00000,0.00000,0,2215000.00000,2655633.48904,149.02737,2,2,10
ALABAMA,2018,Hurricane/Tropical Storm,0.00000,0.00000,0.00000,0,4358450.00000,5225483.42227,108.90835,1,1,3
ALABAMA,2018,Lightning,0.00000,0.00000,0.00000,0,629500.00000,754727.44079,11.10311,1,1,7
ALABAMA,2018,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,277750.00000,333003.25128,8.23194,1,1,207
ALABAMA,2018,Tornado,0.00000,0.00000,0.00000,0,376000.00000,450798.28076,19.09878,1,1,10
ALABAMA,2018,Wind,500.00000,599.46580,0.00164,1,483750.00000,579983.16042,10.34976,2,2,216
ALABAMA,2019,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,2
ALABAMA,2019,Flooding,0.00000,0.00000,0.00000,0,210000.00000,243957.28821,6.30464,1,3,8
ALABAMA,2019,Lightning,0.00000,0.00000,0.00000,0,51000.00000,59246.76999,0.40175,1,1,5
ALABAMA,2019,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,184300.00000,214101.56294,4.58540,1,1,191
ALABAMA,2019,Tornado,0.00000,0.00000,0.00000,0,270000.00000,313659.37055,12.99402,1,1,16
ALABAMA,2019,Wind,0.00000,0.00000,0.00000,0,241300.00000,280318.54116,5.70056,1,1,198
ALABAMA,2020,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,1
ALABAMA,2020,Flooding,0.00000,0.00000,0.00000,0,1280000.00000,1470156.71431,44.95185,23,23,8
ALABAMA,2020,Hurricane/Tropical Storm,1600000.00000,1837695.89289,7.87943,2,310901000.00000,357088431.74750,1390.28358,2,2,9
ALABAMA,2020,Lightning,0.00000,0.00000,0.00000,0,47000.00000,53982.31685,1.39281,1,1,6
ALABAMA,2020,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,259500.00000,298051.30263,5.99213,1,1,296
ALABAMA,2020,Tornado,0.00000,0.00000,0.00000,0,555000.00000,637450.76285,27.68804,1,1,11
ALABAMA,2020,Wind,480000.00000,551308.76787,16.62246,1,348200.00000,399928.56869,6.97609,2,2,321
ALABAMA,2021,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,4
ALABAMA,2021,Flooding,0.00000,0.00000,0.00000,0,3705000.00000,4237389.61500,20.78608,1,2,11
ALABAMA,2021,Hurricane/Tropical Storm,0.00000,0.00000,0.00000,0,53000.00000,60615.82985,0.84697,2,2,5
ALABAMA,2021,Lightning,0.00000,0.00000,0.00000,0,1005000.00000,1149413.37735,5.89450,1,1,4
ALABAMA,2021,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,330150.00000,377590.87217,4.89478,1,1,309
ALABAMA,2021,Tornado,0.00000,0.00000,0.00000,0,3659000.00000,4184779.64947,111.57365,1,1,20
ALABAMA,2021,Wind,0.00000,0.00000,0.00000,0,332750.00000,380564.47892,4.94294,1,1,314
ALABAMA,2022,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,3
ALABAMA,2022,Flooding,0.00000,0.00000,0.00000,0,450000.00000,478845.66126,15.37868,1,1,7
ALABAMA,2022,Heat,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,1
ALABAMA,2022,Lightning,0.00000,0.00000,0.00000,0,795100.00000,846067.07837,19.19383,1,1,13
ALABAMA,2022,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,4110750.00000,4374255.11558,15.55106,1,1,187
ALABAMA,2022,Tornado,3000.00000,3192.30441,0.11929,1,259000.00000,275602.28059,6.06137,1,1,12
ALABAMA,2022,Wind,0.00000,0.00000,0.00000,0,25329750.00000,26953424.19605,290.71558,3,3,204
ALABAMA,2022,Winter Weather,0.00000,0.00000,0.00000,0,25000.00000,26602.53674,0.24621,3,3,1
ALABAMA,2023,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,3
ALABAMA,2023,Flooding,0.00000,0.00000,0.00000,0,20000.00000,20000.00000,1.63239,1,1,1
ALABAMA,2023,Hail,0.00000,0.00000,0.00000,0,5000.00000,5000.00000,0.08986,1,1,1
ALABAMA,2023,Lightning,0.00000,0.00000,0.00000,0,674000.00000,674000.00000,24.17689,1,1,11
ALABAMA,2023,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,13558450.00000,13558450.00000,203.71498,1,1,604
ALABAMA,2023,Tornado,0.00000,0.00000,0.00000,0,14980000.00000,14980000.00000,175.37018,1,1,18
ALABAMA,2023,Wind,0.00000,0.00000,0.00000,0,13685750.00000,13685750.00000,206.02325,1,1,627
ALASKA,2000,Avalanche,0.00000,0.00000,0.00000,0,754000.03000,1318230.76056,67.50628,2,2,21
ALASKA,2000,Flooding,0.00000,0.00000,0.00000,0,620000.04000,1083956.35511,119.01731,6,6,21
ALASKA,2000,Heat,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,3
ALASKA,2000,Wildfire,0.00000,0.00000,0.00000,0,250000.00000,437079.14725,53.60170,1,1,5
ALASKA,2000,Wind,5000.01000,8741.60043,1.59997,2,8346499.99000,14592324.39263,2044.19633,2,2,42
ALASKA,2000,Winter Weather,0.00000,0.00000,0.00000,0,119999.96000,209797.92075,14.64148,3,3,32
ALASKA,2001,Avalanche,0.00000,0.00000,0.00000,0,43999.98000,74797.51048,4.60544,2,2,33
ALASKA,2001,Flooding,0.00000,0.00000,0.00000,0,749499.96000,1274108.10451,187.36921,8,8,30
ALASKA,2001,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,2500.00000,4249.86048,2.12688,2,2,4
ALASKA,2001,Wildfire,0.00000,0.00000,0.00000,0,1600000.00000,2719910.70849,177.79119,7,7,9
ALASKA,2001,Wind,0.00000,0.00000,0.00000,0,607099.95000,1032036.03446,242.11103,2,2,46
ALASKA,2001,Winter Weather,0.00000,0.00000,0.00000,0,333999.99000,567781.34340,15.91126,3,3,18
